"Comune", "Popolazione (abitanti)", "Superficie (km²)", "Densità (abitanti/km²)", "Altitudine (m s.l.m.)"
"Frosinone", "43.015", "46,24", "930", "291"
"Cassino", "34.903", "83,37", "419", "40"
"Alatri", "27.518", "96,22", "286", "502"
"Sora", "24.735", "72,08", "343", "300"
"Ceccano", "22.102", "61,59", "359", "200"
"Anagni", "20.616", "113,10", "182", "424"
"Ferentino", "19.949", "81,39", "245", "395"
"Veroli", "19.511", "119,28", "164", "615"
"Pontecorvo", "12.119", "89,16", "136", "97"
"Monte San Giovanni Campano", "11.900", "48,73", "244", "438"
"Isola del Liri", "10.601", "16,26", "652", "217"
"Fiuggi", "10.195", "32,73", "312", "747"
"Boville Ernica", "8.266", "28,59", "289", "450"
"Ceprano", "8.018", "38,59", "208", "105"
"Paliano", "7.859", "71,72", "110", "471"
"Cervaro", "7.789", "39,17", "199", "250"
"Roccasecca", "6.729", "43,65", "154", "205"
"Arpino", "6.572", "55,93", "118", "447"
"Piedimonte San Germano", "6.301", "16,76", "376", "115"
"Sant'Elia Fiumerapido", "5.599", "41,34", "135", "120"
"Arce", "5.388", "38,87", "139", "247"
"Ripi", "5.027", "31,54", "159", "300"
"Aquino", "4.903", "19,31", "254", "109"
"Torrice", "4.658", "18,28", "255", "321"
"Supino", "4.592", "35,75", "128", "321"
"Castro dei Volsci", "4.353", "58,29", "75", "385"
"Piglio", "4.300", "35,24", "122", "620"
"Atina", "4.096", "30,03", "136", "481"
"Amaseno", "4.075", "77,98", "52", "112"
"Pofi", "3.860", "30,49", "127", "283"
"Castrocielo", "3.733", "27,75", "135", "250"
"Esperia", "3.568", "107,68", "33", "370"
"Castelliri", "3.154", "15,42", "205", "261"
"Morolo", "3.148", "26,84", "117", "397"
"Patrica", "3.043", "27,35", "111", "450"
"San Giovanni Incarico", "3.020", "24,17", "125", "200"
"San Giorgio a Liri", "2.944", "15,48", "190", "38"
"Serrone", "2.925", "15,76", "186", "738"
"Broccostella", "2.632", "11,68", "225", "307"
"Fontana Liri", "2.630", "16,34", "161", "150"
"Pico", "2.588", "33,05", "78", "190"
"Alvito", "2.469", "52,23", "47", "475"
"Villa Santa Lucia", "2.455", "17,96", "137", "393"
"Casalvieri", "2.424", "27,46", "88", "380"
"Ausonia", "2.418", "19,79", "122", "178"
"Pignataro Interamna", "2.387", "24,33", "98", "69"
"Vallecorsa", "2.359", "39,42", "60", "350"
"Sgurgola", "2.354", "18,89", "125", "386"
"San Vittore del Lazio", "2.316", "27,94", "83", "210"
"Giuliano di Roma", "2.305", "33,37", "69", "363"
"Strangolagalli", "2.265", "10,42", "217", "232"
"Arnara", "2.149", "12,17", "177", "250"
"Vico nel Lazio", "2.046", "45,73", "45", "721"
"Fumone", "1.942", "14,91", "130", "783"
"San Donato Val di Comino", "1.859", "37,50", "50", "721"
"Acuto", "1.817", "13,49", "135", "724"
"Sant'Apollinare", "1.806", "17,68", "102", "57"
"Colfelice", "1.774", "14,74", "120", "158"
"Trevi nel Lazio", "1.701", "53,41", "32", "821"
"Trivigliano", "1.611", "12,73", "127", "780"
"Campoli Appennino", "1.598", "32,35", "49", "650"
"Villa Santo Stefano", "1.576", "19,77", "80", "205"
"Coreno Ausonio", "1.490", "26,22", "57", "318"
"Guarcino", "1.489", "40,23", "37", "625"
"Pescosolido", "1.387", "44,97", "31", "630"
"Vallerotonda", "1.381", "59,38", "23", "620"
"Torre Cajetani", "1.317", "11,97", "110", "819"
"Pastena", "1.268", "42,39", "30", "318"
"Sant'Andrea del Garigliano", "1.258", "17,83", "71", "176"
"Fontechiari", "1.205", "16,27", "74", "375"
"Santopadre", "1.184", "21,56", "55", "730"
"Gallinaro", "1.183", "17,72", "67", "558"
"Villa Latina", "1.113", "16,77", "66", "415"
"Picinisco", "1.106", "62,21", "18", "725"
"Posta Fibreno", "1.029", "9,51", "108", "430"
"Vallemaio", "891", "18,28", "49", "337"
"Collepardo", "866", "24,92", "35", "586"
"Sant'Ambrogio sul Garigliano", "865", "9,36", "92", "137"
"Castelnuovo Parano", "846", "9,95", "85", "310"
"Rocca d'Arce", "842", "11,34", "74", "507"
"Vicalvi", "725", "8,23", "88", "590"
"Settefrati", "705", "50,66", "14", "784"
"Belmonte Castello", "655", "13,97", "47", "369"
"Colle San Magno", "612", "45,45", "13", "540"
"Filettino", "535", "78,74", "6,79", "1.063"
"Casalattico", "519", "28,42", "18", "420"
"Falvaterra", "514", "13,17", "39", "282"
"San Biagio Saracinisco", "298", "31,14", "9,57", "836"
"Viticuso", "286", "20,91", "14", "860"
"Terelle", "278", "31,47", "8,83", "905"
"Acquafondata", "249", "25,86", "9,63", "926"